rating,reviews
1,update after month of use there is crackling sound in the background that comes during calls games music anything randomly during calls once the crackling starts it continues it is known issue with the buds and you need to reset the device to get it back and then again the crackling starts in hours orignal review was for stars as below pros premium packaging quick pairing with op phone stylish hopefully good battery usb c interface no need for me to carry another charging cable enviromental noise cancellation quality of miccons very very poor sound quality a pair of wired earphones have better sound quality the red cable provided is a sham it is not warp or dash charging enabled also it is too short the cost cutting in this department at k is not justified clumsy the rubber and buttons are plain clumsy they never sit properly even curl some neck clumsily on dropping the bus down they hardly ever get magnetically closed no carrying pouch the money that s wasted in the packaging which i ll never use again might have better utilised in provinding a proper pouch for the clumsy earphone hd quality codecs like aptx etc are simply not available for this piece all in all this product is a sham stay away may be at it would be a good buy update after months of use the right bud was less loud than left but i ignored because it was minor difference months later now right bud sounds is very less than the left one contacting service centre to claim warranty will update the experience
1,so coming from a quality wired earphones to this neck band rip headphone jack this wireless band cant bridge that gap pros awesome battery life great quick switch functionality not available in base edition great job one plus marketing team quality phone calls get it immediately of u spend long time in meetings or calls wfh fever type c and fast charge minor but still its there cons music will become less enjoyable so buyer beware base edition music does feel good but one plus cleverly removed the quick switch and even positioned the microphone on the neck band directly while in normal edition it used to be on the control island thingy with volume any physical changes must be highlighted guess one plus no longer enthusiast brand even the band to ear bud wire length is different had difficulty in position with my shirt collar base edition legth is not enought stupid company had to return bass edition due to removal of quick switch and reduced ear cord length
1,it s mentioned in the features that bass edition have quick switch option but their is no quick switch button don t know why they have mentioned it in the features i guess they have just copy paste features from their older edition to bass edition
1,i purchased this headphone just month back because i already have oneplus t and to make it more compatible i went ahead for this oneplus headphone for first days it worked very well without any problems but now the performance is completely down i am facing below issues it disconnects automatically when switched on but not in use after successful connection as well when i get call i can not hear anything in the headphone and i have to receive call on phone speaker but if i reconnect it in middle of call then it starts with audio in headphone next person always get the disturbance on both the calls normal and whatsapp call and can not hear me properly in middle of call it disconnect and reconnect after around min so i have to switch my phone output from bluetooth to normal phone speaker and i am missing miss the conversation within that time period i am very disappointed with this oneplus bluetooth headset even now i cannot return the product as return policy period is only for days which is over
5,after viewing too many reviews on youtube i think that op bullets wireless z will have very little bass that s why i ordered the bass edition but after trying the bass edition i found very heavy bass in this version but as i iove flat sound signature i feel the bass is over boosted and i am getting headaches after using it for a long time so i decided to replace the bass edition with a regular one people who love heavy bass can definitely go with bass edition i love rich vocals and instruments with proper balance bass so this bass version definitely not for me hope the people who are confused between regular vs bass edition will get an idea from my review
1,quick feature doesn t work and even pairing with a new device distorts connectivity in a strange manner may be i use iphone that s why there s a problem in bluetooth codec you need to reset the device everytime to solve this issue very pathetic engineering from oneplus work around is never use quick pair feature after using it with one device you just turn off the headphn turn off bluetooth on that device and then connect another deviceupdate i have exchanged my headphones and this one has the same issue the problem is persisting even using it with one device the cracking sound comes up after a while so i think i should go for the normal edition
5,important read till the end i am not gonna write the pros and cons of the product everybody else covered most of them but the most important aspect that i noticed is not covered on any website and youtube these earphones support v bluetooth which is decent but the problem is that if you connect them with phone bluetooth version lower than v than you will gonna face some issues i have a year old honor device which has v bluetooth when i listen on this device the earphones produce a low cracking sound constantly which can t be ignored firstly i thought that i got a defective product but when i tested them on other latest smartphones the problem is not there i contacted oneplus regarding this issue and they cleared my doubt so if you facing the same issue plz check the earphones on other devices too don t just waste your time to replace the product oneplus also replaces the product in the warranty period so don t rush to get it replaced by amazon
5,if you are looking for best wireless earphones k just go for it oneplus bullets wireless z bass edition reverb red even though it is a bass edition bass is not too high but pretty much enough sound quality volume is impressive didn t found much noise cancellation still not bad if your mobile bluetooth version is then you might get voice disturbance voice break since this device is having bluetooth version fast connectivity no quick switch in this version bass edition comfortable battery as they mentioned we can charge for mins can be used for hrs if you charge for hr you can use upto hrs much recommended product k and please don t compare this product with realme buds wireless i found one plus bwz bass edition realme buds wireless
1,the media could not be loaded i have purchased oneplus z ear phone on june currently the product is about to dead and while i try to connect one plus service center they refused to provide any service one plus is providing zero after sell serviceplease don t buy amazon should look after this
1,connectivity is not good enough battery backup is just okay misleading customers saying that it has quick switch features which can only be used by oneplus phones and not by other brand phones and laptops my rs boat earphones have more bass than this bass edition
1,sound quality awesome but if you want this for taking on call please don t buy as the sound quality on call is worst you cannot hear what the other person is talking otherwise for only music this is awesome also as soon as the magnetic buds stick together it get disconnect and off so only the battery is hrs back up and when you again plug to ear the bluetooth connect to you phone it s very fast
1,the earphones themselves are very well built and sturdy with a long lasting battery that charges very fast however support for my samsung device seems to shaky there are scratchy sounds that occur occasionally much like the slight distortion that comes out of speakers that have been playing at high volumes for too long initially i assumed it was a problem with the particular unit and not the product as a whole but after the same issue persisted in my second pair i called up amazon customer care and returned it immediately i do not like the fact that oneplus would market earphones to all brands that have issued with all other brands except their own
5,just received my product from oneplus brand first of all the build quality is super duper solid i mean literally oneplus did a great job on this product the sound quality is also very superb though i have purchased bass edition but i can fell that the bass quality lies between on the scale of the connection between different devices is also again very superb it gets connected in milliseconds the comfortability is very good i feel no pain during heavy music sessions it supports fast charging so you can charge it with your fast charger it am using my laptop to charge this device but you can buy any fast charger you like but remember only buy branded ones not cheap like quality chargers which are available at cheaper rate i would recommend samsung or watt fast charger or you can also go for oneplus official charger verdict the overall quality of this product is very good at this price range i would definately give you green light to go and buy this product especially bass edition it is great product under k
