review,star_rating
phone is a good only bettry bekap 5h only charge 1 25 me hota hei best phone,5.0
sound very loudi don t like this bassdidn t get return policy i sold this am not using because sound quality very bad and loudi think this is fake,2.0
i am impressed with sound quality of infinity glide 510 its a value product at a reasonable price my initial impressionspros1 good sound quality mids and highs are clear even with a punchy bass2decent build quality at this price3excellent bluetooth connectivity and range i am especially impressed with the range4 battery life of 72 hrs which is an unbelievable offer at this price i cant comment on battery life now5pretty decent noice cancellation not activecons1the deep bass mode is useless which spoils the sound quality it is set in deep bass mode you can change it to normal mode by long pressing the volume keys together2 i could feel the pain on the ears after an hours usagei am sure you wont be disappointed with this product its quite a catch at this price hope it will be durable,5.0
these new budget anc headphones are for the casual listener who wants noise canceling and the sony brand without having to pay the higher price of the headphone champion the xm3unlike the xm3s these headphones are bluetooth v50 compatible enabling quick pairing low latencylag and favorable battery life but thats where the better part of the story ends build quality plasticky packaging no headphone case and performance watered down audio quality and noisecanceling are subparrather than throw money on a lessthansatisfactory pair of headphones it is better to wait for a significant price drop for the sony wh1000xm3 as the next iteration of the premium headphones is due any time soon and buy those instead,2.0
nice phone good camera and displayvalue for money,3.0
dont think about money if you like to live today then go for it,5.0
great product around this budget i got this in and i love it bass is perfect if you re a bass lover you don t need to think twice,5.0
best ever,5.0
good performance good camera quality and good battery backup just go for it,5.0
the media could not be loaded not leasing calls and when i put the helmet that time very pain to ears,5.0
great product at such an amazing price i set it up in the 1st floor and am getting its range in the 2nd floor as well as the basement,5.0
just awesome the best product worth every penny love it,5.0
felling awesome thanks flipkart i received this mobile for 10k and before 24 hours deliver really too good and fully satisfied really too much worth mobile its is genuine feedback after using few days im going to give feedback concerns finger print mobile weight no rich look back up is too worest they given 64gb storage pros performance camera quality back side just ok battery backup more than 48 hours finally review is too good really too worthy mobile,3.0
thanks for the fastest delivery,5.0
i am so glad i found a great deal on this laptop on amazon without the tag of any sale period at just 70k wherein the effective cost i incurred was 665k with card discounts please note my entire review is based upon the price of 665k it has a higher performanceperrupee to outclass every other 14inch convertible currently availablefirstly the price i am surprised how a behemoth of a 2in1 machine with the latest ryzen 5700u with 16gb ram and 512gb ssd was available at this price the nearest same specd laptop 2in1 is priced at a whopping 99k hp pavilion x360 2021 it is unbelievable and on top of that it comes with a lenovo digital stylus lifetime microsoft office 2019 student 1year onsite warranty along with an included 1year accidental damage protection all included in the price and it doesnt stop there lenovo has been running a june 2021 offer wherein i got an extra 12 year warranty and 12 year accidental damage protection for just an additional 2500now lets come to the machine 5700u processor coupled with 16gb ram and 512gb ssd is the best your money can buy for this category of laptops even till 1 lakh in case youve not been following the processor let me tell you in short it rivals in singlecore performance with i7 11th gen far outweighs i7 11th gen in multicore while being much more energyefficient at this rate i wont be surprised if intel becomes a nokia in the next 510 years amd is killing iti have used it for only 24 hours so far so this is a quick first impressions review which i will update more later i have made this purchase after a lot of research so i am writing my points in order of what i was concerned about the most1 display it is not dim by any means at all i came across several reviews and videos of people saying the display of flex 5 is dim which i find very incorrect one can say it is not very bright but its not dim by any standards based upon my research the last years 2020 flex 5 was being shipped with a 220 nits panel in some regions and it was dim the model i have 14alc05 manufactured 21 may 2021 has a 250 nits panel and has more than sufficient brightness for indoor use or even if sitting next to a window during the day i am typing this on flex 5 sitting next to a window at 80 brightness sure if you are someone who has to practically work under the sun in a completely open area only then you can say that the max brightness is dim my outgoing laptop is a hp elitebook 840 g3 1366768 tn panel and the flex 5 display quality and brightness is far better than that also i have thoroughly checked for any signs of screen bleed visible to the naked eye none foundthe colour gamut is 45 ntsc which if you are into photovideo editing already know is not ideal dont buy this laptop unless you have an external accurate colour monitor to pair it with2 bluetooth version is 503 wifi is not wifi 6 but is upgradeable it comes with a realtek 8822ce4 hdmi is hdmi 14b which supports 4k60hz have checked on my 4k hdr lg tv you need compatible hdmi cable for the same usbc port meanwhile supports dp 12 and can output 4k 60hz over rgb5 charging port is via typec not a pin hole connector charging speed is superfast thankfully lenovo vantage software allows to turn fast charging off to preserve battery health6 build quality is decent will update more laterthe regular stuff like sound keyboard touchscreen is as expected battery life is excellent after using for 4 hours i had hit just 57 markthese are the main points for my quick review,4.0
the camera is the worsti mean the pictures look like a painting to the other end while video callfront camera is way too bad,3.0
phone performance is veryz smooth camera is ok but i like it,5.0
one of the best products i use recent time in good sound quality built quality is awesome battery life is extremely good,5.0
disappointed with the purchase the earpiece is designed pathetically doesn t fit right n if earpiece don t fit then what s the use of having earphones,2.0
real experience customer review very good in every aspect be it sound quality durablity mic voice quality on the other end bass battery is really good charge once and forget the whole day by now i brought three of them first got misplaced after months of usage so brought another one and two days later brought another for my brother its a really must have bluetooth neckband as i have used three or four earbuds also prior this but after having its experience i am now sticking to it only very light weight and very comfortable in the ears never gets out of the ears while running which was a great problem with the previously used earbuds completely sweatproof connectivity is really good never gets disconnected and connect very quickly latency while playing bgmi is also minimal really hard to notice perfection,5.0
apple iphones absolutely no comments if youre an iphone user you will know but feedback to the seller dont keep on fluctuating the price so much at least give some days in between if wish to do so really bad experience with this seller,4.0
love this product so satisfied with this product,5.0
i had bought this on it doesnot even switch on right from unwrapping the box i dont think it would be a geniue one plus anyways i had requested for return and replace let me check the new one,1.0
one plus bwz bass edition doesn t have quick switch feature,3.0
excellent phone value for 6gb internal memory,4.0
first of all i like to thanks flipkart for their wonderful delivery and packing i bought it about 9 months ago its realy a satisfactory and a good product at rs 1235,5.0
good,4.0
overall good product,5.0
superb best price,5.0
iphone love for all,5.0
impressive,5.0
cell phone is very condition,4.0
i am very dissapointed with this earphones i barely used the earphones for a around weeks just to find it stop turning on one fine day i am not able to reset the esrphones too i am looking to claim my warranty but not sure about how to do it,1.0
see i was very confused before buying this product or not some of my friends suggested that oppo enco m is way better when its comes to balancing the sound due to some codec well i have used both of these products trust me i did not find any difference between these two products else the oppo enco m has a very small neck band people like me likes to have a large neck band well coming on the built quality honestly i find its very flexible to use which makes it different from other devices i mean it can fit inside your pocket battery is one of the thing oneplus has really done something great battery is fare enough and lasts for almost hours with audio sound playing go for it at a glance you wont regret,4.0
phone is good but in display is 720p lcd in this price range we can get full hd oled displays with higher refresh rate processor is very good camera is nice but looks kind of oldish in front of todays phone also theres no charging in box had to buy it seperately,5.0
sound quality is very sweet noise cancellation is very awesomebass quality is very good but not high bass,5.0
